ID,Status,Priority,Assignee,Start date,Finish date,Estimated time,Spent time (hrs),Progress (%)
1201,In progress,4,Person B,11/24/2021,11/24/2021,2,2.5,100
1202,In progress,4,Person B,11/24/2021,11/24/2021,2,2,0
1232,New,4,Person B,11/24/2021,11/24/2021,1.5,1.5,0
1237,New,4,Person E,11/23/2021,,8,8,0
1247,New,4,Person E,11/24/2021,,5,5,0
1251,On hold,4,Person J,11/25/2021,11/25/2021,6,15,100
1259,New,4,Person B,11/25/2021,11/25/2021,1,1,0
1261,New,4,Person H,11/25/2021,11/25/2021,,0,0
1264,In progress,4,Person C,11/23/2021,11/23/2021,3,2,70
1299,On hold,4,Person J,11/25/2021,11/26/2021,6,39,0
1337,New,4,Person B,11/26/2021,11/26/2021,3,3,0
1365,New,4,Person B,11/26/2021,11/26/2021,3,4,0
1376,New,4,Person E,11/25/2021,,7,6.5,0
1377,New,4,Person E,11/26/2021,,8,0,0
1394,In progress,1,Person A,11/17/2021,,,108.42,0
1466,New,4,Person B,11/29/2021,11/29/2021,,5,0
1467,New,4,Person B,11/29/2021,11/29/2021,,1,0
1468,New,4,Person B,11/29/2021,11/29/2021,,2,0
1542,In progress,4,Person I,12/01/2021,,8,0,0
1543,On hold,4,Person J,,,14,18,0
1544,On hold,4,Person J,12/01/2021,12/01/2021,2,4,0
1582,On hold,4,Person J,12/01/2021,12/01/2021,4,5,0
1584,On hold,4,Person J,12/02/2021,12/02/2021,4,0,0
1693,New,4,,,,,2,0
1716,New,4,Person D,12/06/2021,12/06/2021,,9.5,0
1782,On hold,4,Person J,12/06/2021,12/06/2021,8,8,0
1783,On hold,4,Person J,12/02/2021,12/02/2021,4,5,0
1784,On hold,4,Person J,12/07/2021,12/07/2021,8,14.5,0
1833,New,4,Person D,12/08/2021,12/08/2021,,25.5,0
1924,New,High,Person A,12/09/2021,,1,0,0
1987,New,4,Person D,12/09/2021,,,22,0
1995,New,4,Person B,12/10/2021,12/10/2021,2,2,0
2003,New,4,Person B,12/10/2021,12/10/2021,3,3,0
2004,New,4,Person B,12/10/2021,12/10/2021,2,2,0
2008,New,4,Person B,12/10/2021,12/10/2021,1,2,0
2009,New,4,Person B,12/08/2021,12/09/2021,4,4,0
2010,New,4,Person B,12/09/2021,12/09/2021,3,3,0
2012,New,4,Person B,12/08/2021,12/08/2021,3,3,0
2014,New,4,Person B,12/08/2021,12/08/2021,3,3,0
2016,New,4,Person B,12/08/2021,12/08/2021,2,2,0
2017,New,4,Person B,12/07/2021,12/07/2021,4,4,0
2020,New,4,Person B,12/06/2021,12/06/2021,3,3,0
2021,New,4,Person B,12/06/2021,12/06/2021,1,1,0
2022,New,4,Person B,12/03/2021,12/03/2021,7,7,0
2023,New,4,Person B,12/03/2021,12/03/2021,2,0,0
2025,New,4,Person B,12/01/2021,12/01/2021,4,4,0
2026,New,4,Person B,12/01/2021,12/01/2021,3,3,0
2027,New,4,Person B,11/30/2021,11/30/2021,4,4,0
2028,New,4,Person B,11/30/2021,11/30/2021,4,4,0
2079,On hold,4,Person J,,,8,24.5,0
2099,In progress,4,Person D,12/12/2021,12/15/2021,28,28,90
2112,New,4,Person B,12/13/2021,12/13/2021,4,4,0
2116,In progress,4,Person B,12/14/2021,12/14/2021,4,4,0
2117,New,4,Person A,12/14/2021,12/14/2021,,1.5,0
2118,New,4,Person A,,,,12,0
2153,New,4,Person D,12/14/2021,12/14/2021,8,8,100
2203,On hold,4,Person K,12/15/2021,12/15/2021,8,0,0
2204,On hold,4,Person K,12/14/2021,12/14/2021,5.99,8,0
2205,On hold,4,Person K,12/13/2021,12/13/2021,8,8,0
2206,On hold,4,Person K,12/10/2021,12/10/2021,8,7,0
2207,On hold,4,Person K,12/09/2021,12/09/2021,8,6,0
2208,On hold,4,Person K,12/08/2021,12/08/2021,8,7,0
2210,On hold,4,Person K,12/07/2021,12/07/2021,8,9,0
2220,New,4,Person A,,,,16.5,0
2226,On hold,4,Person J,,,,21,0
2232,In progress,4,Person B,12/15/2021,,3,0,0
2245,In progress,4,,,,,0,0
2270,In progress,4,Person L,12/15/2021,,16,8,50
2298,New,4,Person B,12/15/2021,,,0,0
2299,New,4,Person B,12/15/2021,12/15/2021,1,1,0
2301,New,4,Person B,12/15/2021,12/15/2021,2,2,0
2302,In progress,4,Person B,12/15/2021,,1,10,0
2372,New,4,Person B,12/16/2021,12/16/2021,2,2,0
2373,New,4,Person B,12/15/2021,12/15/2021,1,1,0
2387,New,4,Person D,,,,3,0
2523,New,4,Person D,,,,28.7,0
2524,New,4,Person D,,,,13.5,0
2638,On hold,4,Person J,,,,13,0
2639,On hold,4,Person J,,,,6,0
2671,New,4,Person B,12/23/2021,12/23/2021,2,9,0
2672,New,4,Person B,12/23/2021,12/23/2021,3,3,0
2673,New,4,Person B,12/23/2021,12/23/2021,1,5,0
2675,New,4,Person B,12/23/2021,12/23/2021,1,1,0
2730,New,4,Person B,12/24/2021,12/24/2021,5,5,0
2731,New,4,Person B,12/24/2021,12/24/2021,1.5,1.5,0
2732,New,4,Person B,12/24/2021,12/24/2021,1.5,8.5,0
2733,New,4,Person B,12/22/2021,12/22/2021,3,3,0
2734,New,4,Person B,12/20/2021,12/20/2021,4,5,0
2983,New,4,Person D,,,,8.5,0
3088,On hold,4,Person K,12/31/2021,01/03/2022,11,8,0
3089,On hold,4,Person K,12/30/2021,12/30/2021,10,9,0
3090,On hold,4,Person K,12/29/2021,12/29/2021,5.99,6,0
3091,On hold,4,Person K,12/28/2021,12/28/2021,8,7,0
3092,On hold,4,Person K,,,8,8,0
3093,On hold,4,Person K,12/24/2021,12/24/2021,7,6,0
3094,On hold,4,Person K,12/23/2021,12/23/2021,8,7,0
3095,On hold,4,Person K,12/22/2021,12/22/2021,8,8,0
3096,On hold,4,Person K,12/21/2021,12/21/2021,8,7,0
3097,On hold,4,Person K,12/20/2021,12/20/2021,7,6,0
3103,New,4,Person D,,,,25.5,0
3105,New,4,Person D,,,,3,0
3118,New,4,Person M,12/29/2021,12/30/2021,,8,100
3120,New,4,Person M,12/29/2021,12/30/2021,,8,60
3121,New,4,Person M,12/24/2021,12/27/2021,,7,100
3664,New,4,Person M,01/13/2022,01/13/2022,,3,100
3667,New,4,Person M,01/12/2022,01/12/2022,,3,100
3668,New,4,Person M,01/12/2022,01/13/2022,,6,100
3671,New,4,Person M,12/30/2021,01/04/2022,,7,100
3673,New,4,Person M,01/06/2022,01/06/2022,,3,100
3675,On hold,High,Person K,01/14/2022,01/17/2022,16,0,0
3676,New,4,Person M,01/06/2022,01/10/2022,,6,100
3677,New,4,Person M,01/05/2022,01/05/2022,,2,100
3678,On hold,4,Person K,01/13/2022,01/13/2022,3,2,0
3680,New,4,Person M,01/05/2022,01/05/2022,,2,100
3682,On hold,4,Person K,01/12/2022,01/12/2022,8,7,0
3687,On hold,4,Person K,01/11/2022,01/11/2022,8,7,0
3691,On hold,4,Person K,,,8,6,0
3694,New,4,Person M,01/01/2022,01/01/2022,,3,100
3696,New,4,Person M,01/13/2022,01/13/2022,,2,100
3697,On hold,4,Person K,01/07/2022,01/07/2022,8,7,0
3700,On hold,4,Person K,01/06/2022,01/06/2022,8,6,0
3703,New,4,Person M,01/13/2022,01/14/2022,,2,50
3705,On hold,4,Person K,01/05/2022,01/05/2022,7,3,0
3706,New,4,Person D,,,,7.5,0
3707,On hold,4,Person K,01/04/2022,01/04/2022,8,5,0
3708,New,4,Person M,01/01/2022,01/01/2022,,3,100
3709,On hold,4,Person K,01/03/2022,01/03/2022,7,4,0
3710,New,4,Person D,,,,8,0
3711,New,4,Person D,,,,1.5,0
3713,New,4,Person D,,,,8,0
3715,New,4,Person D,,,,29.5,0
3721,New,4,Person M,12/31/2021,12/31/2021,,1,100
3741,New,4,Person M,,,,0,0
4083,New,4,Person N,,,2,0,0
4154,On hold,4,Person K,01/18/2022,01/20/2022,24,22,0
4155,On hold,4,Person K,01/21/2022,01/24/2022,16,14,0
4156,New,4,Person B,01/17/2022,01/17/2022,1,5,100
4157,New,4,Person B,01/17/2022,01/17/2022,4,4,100
4158,New,4,Person B,01/21/2022,01/21/2022,4,4,0
4159,New,4,Person B,01/21/2022,01/21/2022,1,2,100
4160,New,4,Person B,01/26/2022,01/26/2022,2,2,100
4161,New,4,Person B,01/26/2022,01/26/2022,3,3,100
4162,New,4,Person B,01/26/2022,01/26/2022,2,2,100
4163,New,4,Person B,01/26/2022,01/26/2022,2,2,100
4164,New,4,Person B,01/27/2022,01/27/2022,2,14.5,100
4165,New,4,Person B,01/27/2022,01/27/2022,2,2,100
4166,New,4,Person B,01/27/2022,01/27/2022,2,2,60
4167,New,4,Person B,01/27/2022,01/27/2022,2,4,100
4168,New,4,Person B,01/28/2022,01/28/2022,2,2,100
4169,New,4,Person B,01/28/2022,01/28/2022,3,3,100
4170,New,4,Person B,01/28/2022,01/28/2022,1,1,100
4173,On hold,4,Person K,01/25/2022,01/26/2022,16,13,0
4174,On hold,4,Person K,01/27/2022,01/28/2022,16,13,0
4186,New,4,Person M,01/28/2022,01/28/2022,8,8,100
4187,New,4,Person M,01/27/2022,01/27/2022,4,4,100
4188,New,4,Person M,01/27/2022,01/27/2022,4,4,100
4189,New,4,Person M,01/27/2022,01/27/2022,2,2,100
4190,New,4,Person M,01/26/2022,01/26/2022,8,8,100
4191,New,4,Person M,01/25/2022,01/25/2022,4,4,100
4192,New,4,Person M,01/25/2022,01/25/2022,4,4,100
4193,New,4,Person M,01/25/2022,01/25/2022,5,5,100
4194,New,4,Person M,01/24/2022,01/24/2022,2,2,100
4195,New,4,Person M,01/24/2022,01/24/2022,4,4,100
4196,New,4,Person M,01/21/2022,01/21/2022,5,5,100
4197,New,4,Person M,01/21/2022,01/21/2022,3,3,100
4198,New,4,Person M,01/20/2022,01/20/2022,8.5,8.5,100
4199,New,4,Person M,01/19/2022,01/19/2022,3,3,100
4200,New,4,Person M,01/17/2022,01/17/2022,5,5,100
4201,New,4,Person M,01/17/2022,01/17/2022,4,4,100
4202,New,4,Person M,01/17/2022,01/17/2022,5,5,100
4203,New,4,Person M,01/18/2022,01/18/2022,3.5,3.5,100
4204,New,4,Person M,01/19/2022,01/19/2022,4,4,100
4205,New,4,Person M,01/18/2022,01/18/2022,3,3,100
4252,New,4,,,,,7.5,0
4253,New,4,Person D,,,,8,0
4255,New,4,Person D,,,,0,0
4256,New,4,Person D,,,,8.15,0
4257,New,4,Person D,,,,4,0
4258,New,4,Person D,,,,8,0
4259,New,4,Person D,,,,7.3,0
4260,New,4,Person D,,,,0,0
4261,New,4,Person D,,,,9.3,0
4262,New,4,Person D,,,,8.15,0
4298,In progress,High,Person O,01/31/2022,01/31/2022,8,6,90
4330,New,4,Person P,01/31/2022,01/31/2022,9,9,100
4370,New,4,Person P,02/01/2022,02/01/2022,8,8,100
4371,New,4,Person P,02/02/2022,02/02/2022,9,9,100
4380,On hold,4,Person K,01/31/2022,01/31/2022,8,5,0
4381,On hold,4,Person K,02/01/2022,02/01/2022,8,6,0
4382,On hold,4,Person K,02/02/2022,02/02/2022,8,6,0
4401,New,4,,02/03/2022,02/03/2022,12,12,100
4522,On hold,4,Person K,03/04/2022,03/07/2022,8,10,0
4523,On hold,4,Person K,03/08/2022,03/09/2022,8,4,0
4655,On hold,4,Person K,02/09/2022,02/09/2022,4,3,0
4659,On hold,4,Person K,02/14/2022,02/15/2022,8,5,0
4701,New,4,Person D,,,,0,0
4703,New,4,Person D,,,,8,0
4705,New,4,Person D,,,,15,0
4706,New,4,Person D,,,,3,0
4708,New,4,Person D,,,,2,0
4709,New,4,Person D,,,,15,0
4710,New,4,Person D,,,,8,0
4724,New,4,Person B,01/31/2022,01/31/2022,2,2,100
4725,New,4,Person B,01/31/2022,01/31/2022,2,2,100
4727,New,4,Person B,01/31/2022,01/31/2022,2,2,100
4730,New,4,Person B,01/31/2022,01/31/2022,2,2,100
4734,New,4,Person B,02/03/2022,02/03/2022,2,2,100
4735,New,4,Person B,02/03/2022,02/03/2022,4,4,100
4736,New,4,Person B,02/04/2022,02/04/2022,4,4,100
4737,New,4,Person B,02/04/2022,02/04/2022,4,4,100
4738,New,4,Person B,02/05/2022,02/05/2022,,0,100
4739,New,4,Person B,02/07/2022,02/07/2022,3,3,100
4741,New,4,Person B,02/07/2022,02/07/2022,4,6,0
4742,New,4,Person B,02/07/2022,02/07/2022,3,3,0
4744,New,4,Person B,02/08/2022,02/08/2022,4,4,0
4745,New,4,Person B,02/09/2022,02/09/2022,2,2,100
4746,New,4,Person B,02/09/2022,02/09/2022,3,3,98
4747,New,4,Person B,02/09/2022,02/09/2022,3,3,96
4749,New,4,Person B,02/10/2022,02/10/2022,3,3,0
4757,New,4,Person B,02/10/2022,02/10/2022,2,2,0
4759,New,4,Person B,02/10/2022,02/10/2022,2,0,0
4767,On hold,4,Person K,02/16/2022,02/16/2022,5,2,0
4778,New,4,Person B,02/10/2022,02/10/2022,2,2,0
4779,New,4,Person B,02/10/2022,02/10/2022,1,1,100
4780,New,4,Person B,02/11/2022,02/11/2022,2,2,100
4781,New,4,Person B,02/11/2022,02/11/2022,2,2,100
4782,New,4,Person B,02/11/2022,02/11/2022,2,2,100
4783,New,4,Person B,02/11/2022,02/11/2022,2,2,100
4784,New,4,Person B,02/14/2022,02/14/2022,1,1,100
4785,New,4,Person B,02/14/2022,02/14/2022,3,3,100
4786,New,4,Person B,02/14/2022,02/14/2022,2,2,100
4787,New,4,Person B,02/14/2022,02/14/2022,2,2,100
4788,New,4,Person B,02/15/2022,02/15/2022,3,3,100
4789,New,4,Person B,02/15/2022,02/15/2022,2,2,50
4790,New,4,Person B,02/15/2022,02/15/2022,2,2,100
4791,New,4,Person B,02/16/2022,02/16/2022,2,2,0
4836,New,4,Person M,01/31/2022,01/31/2022,,8,100
4837,New,4,Person M,02/01/2022,02/01/2022,,8,100
4838,New,4,Person M,02/01/2022,02/01/2022,,4,100
4839,New,4,Person M,02/02/2022,02/02/2022,,8,100
4840,New,4,Person M,02/02/2022,02/02/2022,,5,100
4841,New,4,Person M,02/03/2022,02/03/2022,,4,100
4842,New,4,Person M,02/03/2022,02/03/2022,,3.5,100
4843,New,4,Person M,02/03/2022,02/03/2022,,5,100
4844,New,4,Person M,02/04/2022,02/04/2022,,4,100
4845,New,4,Person M,02/04/2022,02/04/2022,,4,100
4846,New,4,Person M,02/07/2022,02/07/2022,,3.5,100
4847,New,4,Person M,02/07/2022,02/07/2022,,4,100
4848,New,4,Person M,02/08/2022,02/08/2022,,6,100
4849,New,4,Person M,02/08/2022,02/08/2022,,5,100
4850,New,4,Person M,02/09/2022,02/09/2022,,6,100
4851,New,4,Person M,02/09/2022,02/09/2022,,3,100
4852,New,4,Person M,02/09/2022,02/09/2022,,3,100
4853,New,4,Person M,02/10/2022,02/10/2022,,5,100
4854,New,4,Person M,02/10/2022,02/10/2022,,6,100
4855,New,4,Person M,02/11/2022,02/11/2022,,6,100
4856,New,4,Person M,02/11/2022,02/11/2022,,6,100
4857,New,4,Person M,02/14/2022,02/14/2022,,8,100
4858,New,4,Person M,02/14/2022,02/14/2022,,3,100
4859,New,4,Person M,02/15/2022,02/15/2022,,3,100
4860,New,4,Person M,02/15/2022,02/15/2022,,4,100
4861,New,4,Person M,02/16/2022,02/16/2022,,4,100
4862,New,4,Person M,02/16/2022,02/16/2022,,8,100
4863,New,4,Person M,02/17/2022,02/17/2022,,4,100
4909,New,4,Person P,02/04/2022,02/04/2022,5,5,100
4910,New,4,Person P,02/07/2022,02/07/2022,8,8,100
4911,New,4,Person P,02/08/2022,02/08/2022,8,8,100
4912,New,4,Person P,02/09/2022,02/09/2022,1,1,100
4913,New,4,Person P,02/10/2022,02/10/2022,8,8,100
4914,New,4,Person P,02/11/2022,02/11/2022,3,3,100
4916,New,4,Person P,02/14/2022,02/14/2022,5,5,100
4990,New,4,Person B,02/17/2022,02/17/2022,3,3,100
4991,New,4,Person B,02/17/2022,02/17/2022,2,0,0
5014,New,4,Person O,02/18/2022,02/18/2022,6,5,100
5241,New,4,Person P,02/15/2022,02/15/2022,8,8,100
5242,New,4,Person D,,,,7,0
5243,New,4,Person D,,,,1.5,0
5244,New,4,Person P,02/17/2022,02/17/2022,3,3,100
5246,New,4,Person P,02/22/2022,02/22/2022,6,6,100
5247,New,4,Person P,02/23/2022,02/23/2022,2,2,100
5248,New,4,Person P,02/24/2022,02/25/2022,16,11,100
5249,New,4,Person D,,,,15,0
5251,On hold,4,Person K,02/17/2022,02/22/2022,16,12,0
5252,New,4,Person D,,,,13,0
5253,On hold,4,Person K,02/23/2022,02/28/2022,24,20,0
5254,New,4,Person D,,,,7,0
5255,New,4,Person D,,,,5,0
5256,New,4,Person D,,,,8,0
5257,New,4,Person D,,,,7,0
5273,New,4,Person B,02/28/2022,02/28/2022,3,0,100
5274,New,4,Person B,02/28/2022,02/28/2022,5,0,70
5275,New,4,Person B,02/25/2022,02/25/2022,2,0,100
5276,New,4,Person B,02/25/2022,02/25/2022,6,0,100
5277,New,4,Person B,02/24/2022,02/24/2022,4,0,100
5278,New,4,Person B,02/24/2022,02/24/2022,1.5,0,0
5279,New,4,Person M,02/17/2022,02/17/2022,,4,100
5280,New,4,Person B,02/23/2022,02/23/2022,4,0,0
5281,New,4,Person M,02/18/2022,02/18/2022,,3,100
5282,New,4,Person B,02/23/2022,02/23/2022,4,0,100
5283,New,4,Person M,02/18/2022,02/18/2022,,4,100
5284,New,4,Person M,02/18/2022,02/18/2022,,4,100
5285,New,4,Person M,02/21/2022,02/21/2022,,6,100
5286,New,4,Person B,02/25/2022,02/25/2022,3,0,0
5287,New,4,Person M,02/21/2022,02/21/2022,,2,100
5288,New,4,Person M,02/22/2022,02/22/2022,,6,100
5289,New,4,Person B,02/22/2022,02/22/2022,4,0,100
5290,New,4,Person B,02/22/2022,02/22/2022,4,0,0
5291,New,4,Person M,02/22/2022,02/22/2022,,5,100
5293,New,4,Person M,02/23/2022,02/23/2022,,6,100
5294,New,4,Person B,02/17/2022,02/17/2022,4,0,100
5295,New,4,Person M,02/23/2022,02/23/2022,,3,100
5296,New,4,Person M,02/23/2022,02/23/2022,,2,100
5297,New,4,Person B,02/17/2022,02/17/2022,4,0,100
5298,New,4,Person M,02/24/2022,02/24/2022,,5,100
5299,New,4,Person M,02/25/2022,02/25/2022,,8,100
5300,New,4,Person M,02/25/2022,02/25/2022,,3,100
5302,New,4,Person M,02/25/2022,02/25/2022,,2,100
5304,New,4,Person B,02/17/2022,02/17/2022,2,0,100
5322,New,High,Person O,03/21/2022,03/22/2022,12,13,100
5323,New,High,Person O,03/22/2022,03/23/2022,6,8,100
5324,New,High,Person O,03/23/2022,03/23/2022,3,2,100
5325,New,High,Person O,03/23/2022,03/24/2022,7,9,100
5326,New,4,Person O,03/25/2022,03/25/2022,8,8,100
5361,New,4,Person O,03/01/2022,03/03/2022,8,9,50
5398,New,4,Person O,03/03/2022,03/04/2022,8,9,2
5554,In progress,4,Person Q,03/14/2022,,,26.9,0
5573,New,4,Person P,03/01/2022,03/01/2022,8,8,100
5574,New,4,Person P,03/03/2022,03/03/2022,5,5,100
5575,New,4,Person P,03/10/2022,03/10/2022,1,1,100
5576,New,4,Person P,03/07/2022,03/07/2022,3,3,100
5577,New,4,Person P,03/08/2022,03/08/2022,8,8,100
5578,New,4,Person P,03/09/2022,03/09/2022,3,3,100
5579,New,4,Person P,03/17/2022,03/17/2022,1,1,100
5580,New,4,Person P,03/14/2022,03/14/2022,3,3,100
5588,In progress,4,Person Q,03/15/2022,,,8,0
5598,New,High,Person O,03/04/2022,03/04/2022,3,2,99
5600,New,4,Person D,,,,23,0
5601,New,High,Person O,03/04/2022,03/07/2022,10,11,100
5602,New,4,Person D,,,,16,0
5603,New,High,Person O,03/08/2022,03/08/2022,8,8,100
5604,New,4,Person D,,,,9,0
5605,New,4,Person O,03/09/2022,03/09/2022,100,8,100
5606,New,High,Person O,03/10/2022,03/10/2022,8,0,100
5607,New,4,Person D,,,,8.5,0
5608,New,4,Person O,03/14/2022,03/14/2022,8,8,100
5609,New,4,Person D,,,,8,0
5610,New,High,Person O,03/15/2022,03/15/2022,8,8,100
5611,New,4,Person D,,,,8,0
5612,New,4,Person D,,,,0,0
5613,New,4,Person R,03/11/2022,03/11/2022,8,8,0
5614,New,4,Person R,,,8,8,0
5615,New,4,Person P,02/01/2022,03/15/2022,36,18,0
5616,New,4,Person R,03/07/2022,03/10/2022,32,32,0
5617,New,4,Person R,,,7,7,0
5618,New,4,Person R,,,5,5,0
5620,New,4,Person R,,,8,16,0
5621,New,4,Person R,,,8,8,0
5622,New,4,Person R,,,4,4,0
5623,New,4,Person R,,,2,2,0
5624,New,4,Person R,,,6,6,0
5627,New,High,Person S,03/01/2022,03/03/2022,8,20,100
5628,New,4,Person B,03/01/2022,03/01/2022,4,0,100
5629,New,4,Person B,03/03/2022,03/03/2022,4,0,100
5630,New,4,Person S,03/08/2022,03/10/2022,8,0,100
5631,New,4,Person B,03/02/2022,03/02/2022,4,0,0
5633,New,4,Person S,,03/10/2022,8,0,100
5634,New,4,Person S,,03/11/2022,8,0,100
5656,New,4,Person M,03/01/2022,03/01/2022,8,8,100
5657,New,4,Person M,03/02/2022,03/02/2022,4,4,100
5658,New,4,Person M,03/02/2022,03/02/2022,4,4,100
5659,New,4,Person M,03/03/2022,03/03/2022,4,4,100
5660,New,4,Person M,03/03/2022,03/03/2022,3,3,100
5661,New,4,Person M,03/04/2022,03/04/2022,4,4,100
5662,New,4,Person M,03/04/2022,03/04/2022,4,4,100
5663,New,4,Person M,03/07/2022,03/07/2022,4,4,100
5664,New,4,Person M,03/07/2022,03/07/2022,4,4,100
